proposal_id,voter,option,tx_hash,timestamp
155,osmo1cr46a9wxy5xrjdlfhkvtnepanaaers5uyts5zg,VOTE_OPTION_YES,7E8E53BCF74AA473D67D2DE35D3E0E9E606408F98424DB07ACB6D54E27EC81A9,2022-02-21 16:10:23.397619+00
155,osmo1vvv89rsgddd7d2yseqt6rxmfh26n08xjdeuj6e,VOTE_OPTION_YES,A2EDEBED4D59BD6F84132E13A7BF1F252B25B725181B3D64C8C673C9382D510C,2022-02-21 16:05:39.352508+00
155,osmo1d4pn8f3q5dn0g4uwr2egh5mgzrnf7fhhwxrltj,VOTE_OPTION_YES,491EF569ED124828BA66951CF5B213CCA453E50B6A6FE1BEC1B4B50F25005795,2022-02-21 16:05:51.702063+00
155,osmo1g66003hc6u4nz8ka4rgynj6sa2ttk8klsxe9jm,VOTE_OPTION_YES,499ED66455264841E151E880467D515E2F711A2829EEAC146109BD00E60BC419,2022-02-21 16:05:51.702063+00
155,osmo17h0p77udrhtz63t9jem4gu3v89nspzs7uuz5ms,VOTE_OPTION_YES,94F5B9C04D335085BF4617264B8F9EE9EF02AA08E3BCDD6D0D108204A10560EE,2022-02-21 16:06:04.368057+00
155,osmo1u0yn9lyq25ua5k29g6xsz92z9tc6eelrhthmd9,VOTE_OPTION_YES,99FE07EC50FA5098FBA1CBA903F229AE9C2F8C9450A164636B420907903E562E,2022-02-21 16:06:04.368057+00
155,osmo1ajzrk4ms46wcd3u64hh2pnqwqdzwuusmm4athh,VOTE_OPTION_YES,EFE037443967EBA2A982F489C5440169E5BD6E9B969DAFBCF3171D5C185CC6B3,2022-02-21 16:06:04.368057+00
155,osmo14gfwaazvmpp2qrpse4fftl95yeqsruvgmpt9uv,VOTE_OPTION_NO,04660DE7482B715148197EBE7D14B1B2B76E6ADB04D1374A505A985D7D7A3C4F,2022-02-21 16:06:23.171721+00
155,osmo1ce3uxwdn86anrwzq89t4ugvrtzu0a53c3a2lep,VOTE_OPTION_YES,5FD5D78B34EEC0DEEA6485F59E57CF924F1888CDBAF1A1597CD5B2AA73CAE276,2022-02-21 16:06:57.008905+00
155,osmo1wdag7wtdye4t6egq9emqsxjk8cyvmkxcezjvrq,VOTE_OPTION_YES,B2C128B221B3D36D52EEF94E79B264ADCAFC9CD71E1F29FB7F502EA0A9037B4C,2022-02-21 16:06:57.008905+00
155,osmo13sc89sgjzeh55ngl9pqtch5tj2fvej854r90pe,VOTE_OPTION_YES,8A34511B4068C7F4C182F4EACC16D031B3C5EE6E558215C49C23ABFA49F7A5E4,2022-02-21 16:06:57.008905+00
155,osmo1zejuqm9hjhd8948l3cfw6hh42g89n78u3qgguq,VOTE_OPTION_YES,FA03FF0B699C489A4E61AD7F36EB6F839FB5BDAFE4C76FC778C88DE33157659E,2022-02-21 16:07:15.536441+00
155,osmo10u8c8kemnmp6smxqak40dhsf2z3uuyra6wnsxr,VOTE_OPTION_YES,C745C338B0AC3CD153CDEFA2226A57C13E14A5F1ABE535D287B247FF8F3E8556,2022-02-21 16:07:21.460389+00
