"voter","count"
"osmo1096t2cyncw8mx0fqhmahn99sx8rxhyqkhvxhp2",3
"osmo1098nha0z7d43k2uh2as7a3ywx2q3w8wjsvtz2s",3
"osmo109as32auw8xdurf72gclyk26ulml297km02tcy",1
"osmo109sj2varvep552c075yzx77cgnsqll9fyrf8rw",4
"osmo109wn0m50gscxndn7t3v0cpa5cyyzd6g7tlel3a",2
"osmo109xq5v7sw4enwp4pkj8qahqa0uc8xel76qwa4h",4
"osmo109yr9262mxdcxa2684nf7k7g2qa2d45fvkxc7p",1
"osmo10a98ngl0c4kpr8nwjyed23krvx2cep72he8sce",1
"osmo10ad0vv8faq6q76a2xkz9xaqm3gawuxegh70gpx",4
"osmo10agesr2cmms50mqkcn4erh8d4hucupmu7ytr26",2
"osmo10ak5sk2985qfsy6tystahusuu9x6a7wme6y5ff",2
"osmo10alqt85a32lfn0xcwy8j7v5tat6erxn8wrccj3",2
"osmo10asvqus2p27j0csexkhzudkymxzdktlvwqxdaa",1
"osmo10axgtvw5nt0f66m3taedh4vh5h43pgnvad2r35",4
"osmo10ayaypygpvltygpgfkaspnet9xwxq6zmcy7z4s",1
"osmo10c79g2j55ht3qauq96x4qqgewdg8hdhqcpmh6d",1
"osmo10cg5m6dzuxcaf3gdqqxm4c6pvzslfd79cjpa60",1
"osmo10cqm8myf6ddqpylh4hj48ehvyk7rczls045mcj",2
"osmo10cqu7a6jyh86a595d30p2k0wpdnl49stzw6z29",1
"osmo10ctf2y7r9vtu5rv428lzv906wlszr9ek2xqvcn",1
"osmo10d6x5ug87q0eddp5a5cxj7qdpwtd940zkygawy",2
"osmo10d77qqt2evq6xkr5mq87f0jsuufsgcqu76rqjp",2
"osmo10dev2kd28hhartx4e7chye54p66uvq6kd8elkk",2
"osmo10dpk5y373ttzaus2qecdt4ltpfc2jh025dhgz2",1
"osmo10dsmyqeddjcgpqdkpw806vsmfdm8k4gyt0l0hc",3
"osmo10dvaa7x4fts84zmsll9q7lcd7mzuxlv70k5cuu",1
"osmo10dzm9xule0efu60lprzwhg2amp8aqzm5n955ta",3
