address,amount
osmo103hqyrpgmld45p287kfjljwwdd3wy0rftar0cp,4017754355
osmo103j5499g5e92w6lye8ugqj7jv9z8ddtphlrd58,51000000
osmo103j9kd2xnpt30m6wtpcldlpvy3ge8watpux6yj,54830000
osmo103jf93uytdlrty7emd347ekrh4v5puc70jz3hf,834483339
osmo103ktkpef8h05st60ufv5e6adxt6lqrnjtc8htk,51020437
osmo103n2fyjdal748esfkxft6aepecdmzp0r3j55r8,110000000
osmo103nkz0hgnpwmjveafmr57xwmvlluuj4sm5nll0,1459892635
osmo103p60xzma0vy754e5ee6g7ryshjtcc69z9h7ph,244321617
osmo103rqha0kps4kl9wr0lzqcjahfp3p6d5usd355p,685844755
osmo103ugv097r42rpe48vnhqk4laxj99zs9wvj5wyk,52090334
osmo103verdnv4pzztty50ua7gs5gj25l2gwu3jq0h2,76861504
osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,689667661
osmo103w56d32uzvzrhsv5qwrhz3qd9lhvfk7e656ju,80000000
osmo103wmv32dfpl9wu6dg6flhxycvpv0h4eyyer60v,426122350
osmo103z040l3hh3ys4wzsmazp2l5tfdldyjpmhh5l2,58000000
osmo103zaez0f7uxqqk7ejk2x5ts35w6aeyzxxt6llh,50000000
osmo103zak27s7t0am0gs8l2tpp54r65e85jhxwks3y,83043802
osmo103zlxk62zepp2a4945um8ru7tcygtxrqa70mkz,103809414
osmo1040yzzm5pv2f28n9s5hlhhykndumz870wmff8n,62430973
osmo1042d0ynxc9f4r0t2y57wdxqg0q3p5844kvqyzt,110000000
osmo1043kmkxrkyljcudd9jwxx7lnem27hs3s5gr37u,142130193
osmo1047eaurzpwspfqkctrrayul0gyzwhr3y6rnxj0,500000000
osmo10487rxhpghzhyudpnuh585hn4s54ruzspa990r,105435717
osmo1049cly2sqclnj6c3a68mnxhpnv2dtdrkqz9vhl,1179861486
osmo1049sudyrjuml0tsqjx2t4d3lvptkngsh4w5466,1030160831
osmo1049ye8lese3s2a6rr2quh3des6pynmqpd737k0,10106494732
osmo104a4pj64l6grr65ppp7el72kjtyjuuh9qj9jk6,6233299803
osmo104algnpncvwvsrm24ds2v2uk34gepg07qj3jkn,225339744
osmo104apxm2k2k2s5evlkclkpfzmd89vu3f3xvfylf,50200000
osmo104armjlxs72vacdqmef4dv44c3meerzhdm5fs6,4404000000
osmo104c73yza5366smu3hgwwh0adtdvngfgvwmtm8y,59250000
osmo104cycmcez05tax6xeseg5gsec07n27cnfq8ldm,2100888608
osmo104eqmzvu572q3gs0n4jwzz2e64s2pkxd37emya,230838891
osmo104fnttxcgxtrfvvqcqgwydgrf9wn0m9we8zfqq,200000000
osmo104fq56d9attl4m709h7mgx9lwqklnh05vh6ru5,1850000000
osmo104g8u70dj0hdt7dvejhum5rhk55kgmc5zt7y94,4066483171
osmo104gevychrp9gvnyfvewpaaql7f4mp694zkcecm,6284011941
osmo104h5yaram0ps2sxvs2gadwa5tchkeu7c75n3w7,131300000
osmo104jfdk3jpl7zt7sgxnwzyrf98psmjfh2tg432y,988841325
osmo104kwemq2hkjuw4vs2e44rxarjkktkvxkz5246d,62500000
osmo104la2yl7wplyg08kwvh6vxrrky07ju7ma608gj,274880000
osmo104m4x0up76hfljpq4pug076gvgqe9uq08l2kvu,50000000
osmo104mh7qdutwx2zaf83mynjm8kklpj62cw9uvfra,106686573
osmo104mtsuul0qv4hwn88ssejp22ywpgtrm4qc6zdr,570200000
osmo104ptlr75z58apcy9fhxnzhya8nk0smw8a3g0qq,64632844
osmo104pytn2m4a403hzxmj7uzrg8msn8j678lwtq85,100000000
osmo104qv6ew9ealp88n05ga2ke29umuf8sv9stku4l,53913436
osmo104ramkmx9hlrgwnde0mru5grffrnx8ytr7nvkf,63686093
osmo104rva7e8ansd8h2u67jc2c9xlp7yzzdhww3zk0,51078945
osmo104srsl4yhl7x35xhsqr52n9n6gdnfxa2xgalsn,80497000
osmo104th8e5c9szehvqhhpm0w437e4wg69y086klcz,1074498756
osmo104tx64evn5j38qzjesn46834fe7gdp6j3rngxf,350000000
osmo104upqz3s2f27z2uk2ey9pr9hh480upu3r49myt,200000000
osmo104v3e5ydyszf6t0k5hsgcqw2hhpvekvjng2345,2387000000
osmo104vnce8f04z47x9n2pmwg6tjvu6pv7s3hz7mff,4330440848
osmo104wxkynmjevqqklvqdktdvusjxlk783yehgwvq,831733845
osmo104yd5hfaf7j2awr784nvv2le20mwdqd45ec4p8,1300000000
osmo104yxa6z9davqlsv8xyl65587ltjvpje5s6gffq,50000000
osmo1052m8swy89e5wqxynhwg70e7l0cd9a9edjsnmm,64484748
osmo10530lctezsylrhuxxrwgf5kf3nzuhpsw6rslym,85473652
osmo105363q3lf7ut63frthtnj6ugume3jjgeuuncaw,309000000
osmo1056cqeqqqr8kxdrpgkxx4z8w7xh0d5krfeaa2e,52000000
osmo1056vn8eurltajhvdj0mmsacmctjnukdf2k0u2z,1475169971
osmo1058vd00nlclsthz4pxkgszq6md6cdt6q0jfll3,79506605
osmo1059qwc07gxwu7fh9c7t6xsr9fgc2e0ksl55x77,3247480000
osmo1059vss4rq2sqag52q47pszgdagdpaskt5wxjkg,125511318
osmo105a4nqa9x6gfxmxu8y3nn3laagwjmx95tkceh2,97542785
osmo105a8dx7gckthyjh3e2y0xsuhwd6a7vkmsulea2,50033718
osmo105a8mwmgceendm5gv4v8p2w79088jqtwcxx6j2,50200000
osmo105ajzt9tgy0vevz8kmhgr3h4z4rftvl7f6xxq2,532318304
osmo105cmp8y3f5977vf0rusyk9y3tq3n4zc29jkfev,92803092
osmo105e4n2f2gr92x8pxvmhxj5v7e2m9j08zelxdnq,125016478
osmo105gekn2cx4ka4x4e2gxksuem3ykrktzdklp3gl,471465526
osmo105hwpjj4m06srkz2h3k5pf3z6kh89z302pnx7v,60716197
osmo105kckxw2vycgryas4afcjpllelmuka762kx4jf,50000000
osmo105kjawan55dpfmynmhyvl82ryyy9ewetray0eg,51326855
osmo105lcm7vqvl60ncwy3jf337qdxjl4kjfrqp2372,306112614
osmo105nk5nxu7uve6e5anwvdjsdsdezenfyts8ayde,73668252
osmo105pemhfdgc3ljjmjy84jdw56qsp8hj8myvkju3,1540000000
